x-axis,1,2
second,Volt,Volt
-37.500000E-03,,
-37.493000E-03,,
-37.486000E-03,,
-37.479000E-03,,
-37.472000E-03,,
-37.465000E-03,,
-37.458000E-03,,
-37.450999E-03,,
-37.443999E-03,,
-37.436999E-03,,
-37.429999E-03,,
-37.422999E-03,,
-37.415999E-03,,
-37.408999E-03,,
-37.401999E-03,,
-37.394999E-03,,
-37.387999E-03,,
-37.380999E-03,,
-37.373999E-03,,
-37.366999E-03,,
-37.359998E-03,,
-37.352998E-03,,
-37.345998E-03,,
-37.338998E-03,,
-37.331998E-03,,
-37.324998E-03,,
-37.317998E-03,,
-37.310998E-03,,
-37.303998E-03,,
-37.296998E-03,,
-37.289998E-03,,
-37.282998E-03,,
-37.275998E-03,,
-37.268997E-03,-7.275191752E+00,-321.163516E-03
-37.261997E-03,-7.107827729E+00,-322.502428E-03
-37.254997E-03,-7.027196631E+00,-322.627079E-03
-37.247997E-03,-6.940463699E+00,-321.796361E-03
-37.240997E-03,-6.946565553E+00,-321.473836E-03
-37.233997E-03,-7.113929576E+00,-322.167700E-03
-37.226997E-03,-7.194560647E+00,-322.292351E-03
-37.219997E-03,-7.107827689E+00,-322.155496E-03
-37.212997E-03,-7.027196631E+00,-321.610691E-03
-37.205997E-03,-7.027196631E+00,-321.498244E-03
-37.198997E-03,-7.027196631E+00,-322.663690E-03
-37.191997E-03,-7.200662600E+00,-322.800545E-03
-37.184996E-03,-7.361924663E+00,-322.478021E-03
-37.177996E-03,-7.275191665E+00,-322.131089E-03
-37.170996E-03,-7.021094638E+00,-321.808564E-03
-37.163996E-03,-6.859832615E+00,-322.155497E-03
-37.156996E-03,-6.946565633E+00,-321.957622E-03
-37.149996E-03,-7.113929656E+00,-321.300370E-03
-37.142996E-03,-7.194560647E+00,-322.006439E-03
-37.135996E-03,-7.107827609E+00,-322.118884E-03
-37.128996E-03,-7.027196631E+00,-322.688099E-03
-37.121996E-03,-7.113929682E+00,-322.776136E-03
-37.114996E-03,-7.194560647E+00,-321.635098E-03
-37.107996E-03,-7.281293712E+00,-322.167701E-03
-37.100996E-03,-7.275191592E+00,-321.945418E-03
-37.093995E-03,-7.107827569E+00,-322.353372E-03
-37.086995E-03,-7.027196631E+00,-322.788340E-03
-37.079995E-03,-7.027196631E+00,-322.490225E-03
-37.072995E-03,-7.200662827E+00,-321.945418E-03
-37.065995E-03,-7.275191559E+00,-321.139108E-03
-37.058995E-03,-7.107827536E+00,-321.312575E-03
-37.051995E-03,-7.027196631E+00,-321.473836E-03
