2023-04-05 15:49:54,368 ['-6.36', '-30.64', '-36.16']
2023-04-05 15:49:54,368 ['-6.36', '-30.64', '-36.16']
2023-04-05 15:49:54,395 ['-6.18', '-30.64', '-35.96']
2023-04-05 15:49:54,395 ['-6.18', '-30.64', '-35.96']
2023-04-05 15:49:54,395 ['-6.18', '-30.64', '-35.96']
2023-04-05 15:49:54,412 ['-6.55', '-30.64', '-35.86']
2023-04-05 15:49:54,412 ['-6.55', '-30.64', '-35.86']
2023-04-05 15:49:54,412 ['-6.55', '-30.64', '-35.86']
2023-04-05 15:49:55,449 ['-6.45', '-30.36', '-35.55']
2023-04-05 15:49:55,449 ['-6.45', '-30.36', '-35.55']
2023-04-05 15:49:55,449 ['-6.45', '-30.36', '-35.55']
2023-04-05 15:49:55,474 ['-6.09', '-30.45', '-35.86']
2023-04-05 15:49:55,474 ['-6.09', '-30.45', '-35.86']
2023-04-05 15:49:55,474 ['-6.09', '-30.45', '-35.86']
2023-04-05 15:49:55,502 ['-6.91', '-30.73', '-35.76']
2023-04-05 15:49:55,502 ['-6.91', '-30.73', '-35.76']
2023-04-05 15:49:55,502 ['-6.91', '-30.73', '-35.76']
2023-04-05 15:49:56,522 ['-6.55', '-30.73', '-35.65']
2023-04-05 15:49:56,522 ['-6.55', '-30.73', '-35.65']
2023-04-05 15:49:56,522 ['-6.55', '-30.73', '-35.65']
2023-04-05 15:49:56,563 ['-6.73', '-30.55', '-35.76']
2023-04-05 15:49:56,563 ['-6.73', '-30.55', '-35.76']
2023-04-05 15:49:56,563 ['-6.73', '-30.55', '-35.76']
2023-04-05 15:49:56,592 ['-6.45', '-30.82', '-35.96']
2023-04-05 15:49:56,592 ['-6.45', '-30.82', '-35.96']
2023-04-05 15:49:56,592 ['-6.45', '-30.82', '-35.96']
2023-04-05 15:49:57,595 ['-6.18', '-30.45', '-35.96']
2023-04-05 15:49:57,595 ['-6.18', '-30.45', '-35.96']
2023-04-05 15:49:57,595 ['-6.18', '-30.45', '-35.96']
2023-04-05 15:49:57,653 ['-6.55', '-30.55', '-36.16']
2023-04-05 15:49:57,653 ['-6.55', '-30.55', '-36.16']
2023-04-05 15:49:57,653 ['-6.55', '-30.55', '-36.16']
2023-04-05 15:49:57,677 ['-6.18', '-30.55', '-36.16']
2023-04-05 15:49:57,677 ['-6.18', '-30.55', '-36.16']
2023-04-05 15:49:57,677 ['-6.18', '-30.55', '-36.16']
2023-04-05 15:49:58,676 ['-6.00', '-30.55', '-35.65']
2023-04-05 15:49:58,676 ['-6.00', '-30.55', '-35.65']
2023-04-05 15:49:58,676 ['-6.00', '-30.55', '-35.65']
2023-04-05 15:49:58,738 ['-6.64', '-31.09', '-35.76']
2023-04-05 15:49:58,738 ['-6.64', '-31.09', '-35.76']
2023-04-05 15:49:58,738 ['-6.64', '-31.09', '-35.76']
2023-04-05 15:49:58,757 ['-6.18', '-30.82', '-35.55']
2023-04-05 15:49:58,757 ['-6.18', '-30.82', '-35.55']
2023-04-05 15:49:58,757 ['-6.18', '-30.82', '-35.55']
2023-04-05 15:49:59,745 ['-7.00', '-30.82', '-35.76']
2023-04-05 15:49:59,745 ['-7.00', '-30.82', '-35.76']
2023-04-05 15:49:59,745 ['-7.00', '-30.82', '-35.76']
2023-04-05 15:49:59,830 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:49:59,830 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:49:59,830 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:49:59,848 ['-6.55', '-30.91', '-35.76']
2023-04-05 15:49:59,848 ['-6.55', '-30.91', '-35.76']
2023-04-05 15:49:59,848 ['-6.55', '-30.91', '-35.76']
2023-04-05 15:50:00,826 ['-6.82', '-30.82', '-35.65']
2023-04-05 15:50:00,826 ['-6.82', '-30.82', '-35.65']
2023-04-05 15:50:00,826 ['-6.82', '-30.82', '-35.65']
2023-04-05 15:50:00,917 ['-5.82', '-30.45', '-35.45']
2023-04-05 15:50:00,917 ['-5.82', '-30.45', '-35.45']
2023-04-05 15:50:00,917 ['-5.82', '-30.45', '-35.45']
2023-04-05 15:50:00,934 ['-6.45', '-30.91', '-35.86']
2023-04-05 15:50:00,934 ['-6.45', '-30.91', '-35.86']
2023-04-05 15:50:00,934 ['-6.45', '-30.91', '-35.86']
2023-04-05 15:50:01,907 ['-7.18', '-30.73', '-35.86']
2023-04-05 15:50:01,907 ['-7.18', '-30.73', '-35.86']
2023-04-05 15:50:01,907 ['-7.18', '-30.73', '-35.86']
2023-04-05 15:50:01,998 ['-6.27', '-30.36', '-35.76']
2023-04-05 15:50:01,998 ['-6.27', '-30.36', '-35.76']
2023-04-05 15:50:01,998 ['-6.27', '-30.36', '-35.76']
2023-04-05 15:50:02,014 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:02,014 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:02,014 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:02,993 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:50:02,993 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:50:02,993 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:50:03,083 ['-6.73', '-30.82', '-35.76']
2023-04-05 15:50:03,083 ['-6.73', '-30.82', '-35.76']
2023-04-05 15:50:03,083 ['-6.73', '-30.82', '-35.76']
2023-04-05 15:50:03,095 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:03,095 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:03,095 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:04,067 ['-6.64', '-30.73', '-35.45']
2023-04-05 15:50:04,067 ['-6.64', '-30.73', '-35.45']
2023-04-05 15:50:04,067 ['-6.64', '-30.73', '-35.45']
2023-04-05 15:50:04,168 ['-6.45', '-30.64', '-35.55']
2023-04-05 15:50:04,168 ['-6.45', '-30.64', '-35.55']
2023-04-05 15:50:04,168 ['-6.45', '-30.64', '-35.55']
2023-04-05 15:50:04,185 ['-6.64', '-30.82', '-35.65']
